x,y,z
93.29414726820875,390.31149030357625,a
98.47621957622663,399.4939828812077,a
101.40045009011007,411.82037469121826,a
96.54268890467598,388.33126462255836,a
73.45693417264572,382.12025224372564,a
78.17938236131761,361.85444435034884,a
97.01668195634798,364.9987237508755,a
138.12389828744944,388.57761058979463,a
114.23312574687495,362.2448585251016,a
101.89948902745412,388.03147031836704,a
122.10973568828004,350.9015034108839,a
66.18257143246282,355.9490789106806,a
88.74312173678408,387.190391541563,a
90.38496501796193,377.45072080802095,a
76.28892078093487,350.2931765217453,a
40.31929923381166,407.9513425951932,a
139.82744361144262,408.55198881571107,a
39.24818541221625,427.67044352066785,a
25.170905422709403,368.52890630362424,a
78.97855252231813,396.94756824624983,a
95.96620567428758,382.27829597298853,a
44.804007138875846,408.9001049188213,a
49.27266798881867,350.82657351227454,a
63.46777249383574,340.0388529737513,a
46.482008561904294,369.15178604574317,a
67.81481713296449,350.4248720569601,a
133.48149145396866,367.6373875654691,a
97.44970215163802,376.65978553840137,a
115.44939567647623,409.05721400481275,a
119.45307659449537,411.74370284677786,a
135.83594581960344,396.8805988019699,a
90.37177899421135,394.66154551580973,a
108.41377449556985,383.81408107716777,a
86.41506070775041,449.8275628658617,a
93.94740769269772,400.90659732433096,a
66.53872156266489,384.2163776549501,a
86.52238765281187,380.32081127217253,a
61.068866481164946,352.0501761045957,a
105.27789131499657,376.1118260314449,a
39.76322940220618,324.5410478943485,a
76.81974702885387,351.10270604648383,a
95.48189025858048,398.79799154420243,a
137.12410864531114,353.4964140072692,a
95.43909625100446,376.34541608712783,a
134.73901238186988,374.2755371411193,a
95.67854631545117,404.09968443902466,a
106.0172074821836,338.870791065165,a
86.67594756137895,371.69688568986516,a
269.45232758503437,456.7512075480451,a
296.01671056122655,407.4790638395865,a
322.3693486941805,439.96064768169134,a
334.07365747744836,428.8936607251807,a
276.13732323408885,456.16249285168414,a
300.8698557612795,370.22695948617456,a
314.8052807042727,373.8011360347613,a
322.01439974209404,358.80033284602155,a
319.60239216332405,343.1077819163284,a
310.1258248109159,402.9931232995546,a
332.56597595107894,381.18528485464424,a
324.3717908576083,439.2666985444321,a
333.90280190608394,408.72946404217396,a
352.5159307166059,443.8556160559413,a
348.35166594731527,408.72283886592857,a
337.24913209602875,409.86353074872886,a
274.55381299504785,436.3501106899737,a
256.0028562909517,419.90678992263986,a
292.94710310943,482.55440770248924,a
239.1342390430149,439.98025981991486,a
242.91760385126878,420.4021910456637,a
241.24918189801974,413.30886687014765,a
230.76305473637552,388.5812011841351,a
330.6110680720542,365.7489751312473,a
243.12596463579138,405.12176570671556,a
315.804981921736,312.91943330668073,a
272.83628494740253,390.9487763341296,a
298.57087070646514,434.8445153689921,a
307.35153225320056,416.65283608268453,a
334.8886986954944,403.5508312691365,a
306.53107822619586,449.33769679936336,a
279.26163626214935,369.73202148000826,a
314.22931998327465,422.6504371938091,a
323.3227451937733,438.7465038255159,a
302.1372794437071,390.86352593698354,a
276.03216788651946,404.37207811610915,a
265.7498377165136,352.65482519605774,a
255.09916203850688,372.2790625189506,a
295.9256761062795,429.8793604152522,a
275.5138400408866,383.2417604735181,a
316.1382990421562,383.1131016800563,a
232.98084294655808,408.82327033024313,a
314.7144959323022,400.3013554823019,a
319.4266763218703,421.191850892499,a
289.171619854203,416.4197613641055,a
620.1048538086358,353.09702272585565,a
607.8685274924666,319.21215286332426,a
543.634611212704,316.53022091800926,a
562.3723585537728,291.86433284412226,a
