x,y,z
14.845235260462992,146.57437574232824,a
38.78926194498811,167.63602522996558,a
38.26559201237204,123.096577587193,a
56.44547107581803,104.62717319292165,a
96.19683894500047,137.63668222069748,a
86.5443262087081,164.36790058766513,a
89.87002778927757,185.76588445137992,a
119.99295595157065,201.73120881423887,a
73.20720550219406,218.71796984638678,a
75.77339382332013,173.42337840768647,a
106.11610522287529,206.63330847464152,a
87.27331414807617,212.45739738739474,a
113.97337585950979,186.88183312640905,a
120.0007152524304,142.04778187884432,a
130.81092524744122,140.9419242746552,a
119.97130731911781,84.1739447098584,a
141.58024460108135,96.24778990508128,a
120.85376254757001,96.2191690522215,a
89.60841524936956,57.80510551276075,a
99.42389755408738,118.95679905278286,a
161.3681240528069,151.24165064042222,a
150.0246822011874,150.37820528884174,a
162.1944090411432,180.9088607298155,a
172.390006032566,202.90420193029274,a
232.70355949356315,220.6708378938634,a
262.4833768906642,233.48592490131904,a
213.66942664864425,239.99631877988048,a
225.92686127283588,235.07271237914875,a
266.7925051244661,247.14040393253492,a
195.98595016129033,211.17351773063103,a
262.7199237459376,202.27423665070796,a
264.1693942364282,219.24501908509063,a
285.91212387414754,240.49457326155914,a
283.34438193876656,215.90878873525946,a
251.4781089487752,255.45255910254937,a
254.21794480781162,291.3443612612379,a
300.3829649797844,241.99977436562665,a
267.61720250377493,157.87294674000896,a
165.77567412863402,214.1709304946889,a
182.2419729678667,164.6500411297269,a
152.63297834220376,131.81478707805695,a
116.9180527557673,133.78677591872014,a
142.83994192598135,131.9565565022546,a
108.362965994223,177.44245465510443,a
118.90681860659443,158.52354101482956,a
93.86887857743753,152.2755666082257,a
97.09770897700724,184.49865526364277,a
137.76482859864657,154.24379502781898,a
111.10162520627394,170.25470214974075,a
109.47218432450444,199.28860198362366,a
121.25224606280858,152.05453910155717,a
124.7281764830704,199.36915670694663,a
120.22030554113373,124.36515636360303,a
147.33968780330895,101.80105845624212,a
138.38918964524356,163.9533083165677,a
133.06846427230516,123.44386301118425,a
147.43330485996216,146.3493999061692,a
226.50249124202037,131.16913659529314,a
294.48107154816523,163.17596646051032,a
221.52868043335607,184.47091118435526,a
259.38099297478715,141.83295055755207,a
222.80987436116038,154.36052691888614,a
283.3550308902884,145.29262071710207,a
263.8319496945359,165.0022800618459,a
235.97174173160428,201.89489905032417,a
253.1491396527212,158.24130853119328,a
295.3646441610431,176.4761211725915,a
323.18784532601387,181.9398006931291,a
279.30335725158807,226.18751552681482,a
270.51896516909375,196.77334735770216,a
277.4396267052761,177.31585207176312,a
333.0804314305149,128.63553100214176,a
271.8260977431084,162.90120977330628,a
322.5690563589667,219.78492884699835,a
273.6306480986062,188.20382036330466,a
282.082140316097,193.49229734470856,a
361.2027378602768,216.84189113104566,a
352.10717037575864,188.13348203761342,a
462.5487724182205,261.6952582367854,a
448.114252791668,239.90119911008617,a
467.15119906011034,198.69408052041308,a
445.10319259394356,243.20099722036184,a
480.3955149233153,259.02004581362996,a
443.68531431035365,234.55074722653586,a
480.2563734369218,277.921783456575,a
419.0848932532708,221.2772501351219,a
395.4831518569412,168.4465140045067,a
351.53650795072804,188.55338746689324,a
391.76286398221447,184.5826571796489,a
343.5307215314674,104.76102291155439,a
334.4993651473488,163.61009267693078,a
329.4246977495026,130.0286657171905,a
351.35139527462167,135.01972882928777,a
400.24023323877447,185.55478718902089,a
362.6014162714624,197.03846387603062,a
414.83505779118224,226.246878724755,a
456.2787057247464,250.10241216564944,a
457.44829326472467,270.76984777587234,a
524.133966095312,297.2819912417396,a
510.42287930243003,260.71463240737614,a
480.4099562326421,265.987467662579,a
518.4876373952076,294.9945936477395,a
494.42951189950935,206.21640931370888,a
498.73095093325065,217.6672778422518,a
457.96007263938156,225.9417330943374,a
404.8978213541971,193.9494948991288,a
403.59965606260323,153.86197809459128,a
353.42167269029403,153.13371143270712,a
343.5029998608764,173.4791958464388,a
315.99255425696225,204.2013043517951,a
359.4999902588163,138.82955273595593,a
367.42003192831197,186.82289495974499,a
447.9115901790685,163.23223270159036,a
457.795505221648,233.4418121173211,a
539.582250995118,248.3784923520934,a
528.3655078453194,254.8996929866536,a
562.9758982176563,218.7703386039248,a
559.0221251692802,254.7507629992133,a
569.2277273447461,260.0072727638516,a
561.793451729158,261.87134736551644,a
572.4227380531405,298.26320128516204,a
594.6820194497332,227.51167344636917,a
604.471142877333,222.13779292676008,a
569.8244905213512,228.62841745096836,a
574.3419858676892,243.34251958308528,a
556.9003738052346,236.0934585748065,a
536.2572427594762,187.4083432137861,a
537.2839035717558,216.94237339658525,a
514.045932087989,235.05221462781105,a
501.3564380922911,220.7443274943298,a
512.5787909093949,240.5973969922385,a
504.55291777714785,204.25793822017954,a
561.904542673236,201.54014210726433,a
567.3064983520882,195.88532550831457,a
581.8112403706589,234.17036696544602,a
592.1235164515541,218.81590153016384,a
564.4434065611678,221.8025356833167,a
593.8364951320654,261.2163452510256,a
643.6784245568124,261.7343561995374,a
623.2309592350015,264.5490563006231,a
660.4706536564527,214.93103136785766,a
673.6457124508084,317.12360982078997,a
628.8524593890596,230.38179405049272,a
611.548314387401,261.3149502607764,a
648.7420746532321,250.25844729150572,a
576.5009587211258,223.39253636543498,a
563.9543460843341,195.20049935400192,a
533.3513562239957,204.92988708037706,a
